Gakondo,com.ishakwe.gakondo,Adventure,0.0,0.0,10+,10.0,15,True,0.0,USD,10M
Ampere Battery Info,com.webserveis.batteryinfo,Tools,4.4,64.0,5.000+,5000.0,7662,True,0.0,USD,2.9M
Vibook,com.doantiepvien.crm,Productivity,0.0,0.0,50+,50.0,58,True,0.0,USD,3.7M
Smart City Trichy Public Service Vehicles 17UCS548,cst.stJoseph.ug17ucs548,Communication,5.0,5.0,10+,10.0,19,True,0.0,USD,1.8M
GROW.me,com.horodyski.grower,Tools,0.0,0.0,100+,100.0,478,True,0.0,USD,6.2M
IMOCCI,com.imocci,Social,0.0,0.0,50+,50.0,89,True,0.0,USD,46M
unlimited 4G data prank free app,getfreedata.superfatiza.unlimitedjiodataprank,Libraries & Demo,4.5,12.0,1.000+,1000.0,2567,True,0.0,USD,2.5M
The Everyday Calendar,com.mozaix.simoneboard,Lifestyle,2.0,39.0,500+,500.0,702,True,0.0,USD,16M
WhatsOpen,com.whatsopen.app,Communication,0.0,0.0,10+,10.0,18,True,0.0,USD,1.3M
Neon 3d Iron Tech Keyboard Theme,com.ikeyboard.theme.neon_3d.iron.tech,Personalization,4.7,820.0,50.000+,50000.0,62433,True,0.0,USD,3.5M
Dodge The Cars!,com.MrScratchEnterprises.CarDogeGame,Racing,4.9,55.0,100+,100.0,329,True,0.0,USD,51M
Parents,com.eqra.android.BSTS.parent,Maps & Navigation,0.0,0.0,100+,100.0,330,True,0.0,USD,2.7M
桃園機場捷運時刻表 - 捷運轉乘路線快速查詢(支援台北捷運),com.jieapp.taoyuanmetro,Travel & Local,3.9,118.0,10.000+,10000.0,37763,True,0.0,USD,7.6M
be.MOBILISED,com.hastobe.bemobilised,Maps & Navigation,0.0,0.0,100+,100.0,274,True,0.0,USD,15M
Caliway Conductor,com.caliwayconductor.driver,Travel & Local,3.7,1572.0,10.000+,10000.0,42856,True,0.0,USD,29M
Readymade Grocery App,com.ionicfirebaseapp.readymadegroceryuserapp,Food & Drink,4.2,16.0,1.000+,1000.0,4313,True,0.0,USD,12M
OTENTIK Discovery FR,com.camineo.otentikdiscoveryDLFR,Travel & Local,3.4,5.0,500+,500.0,949,True,0.0,USD,2.9M
All in one shopping app,com.tkapplications.allinoneshoppingapp,Tools,5.0,6.0,50+,50.0,62,True,0.0,USD,2.0M
REDMOND  Robot,com.grit.redmond,Lifestyle,3.7,328.0,10.000+,10000.0,31235,True,0.0,USD,70M
Contemporary Love Wallpaper HD,com.felingdev.lowalpaper,Books & Reference,0.0,0.0,1+,1.0,2,True,0.0,XXX,11M
Nepali Congress,np.com.NepaliCongress,Social,0.0,0.0,100+,100.0,336,True,0.0,USD,24M
